experiment,source,target,base,arm,k,draw_seed,auc,fold_auc,fold_gap,fold_diverged
few-label,UCEC,COAD,single,warm,5,5,0.7795634751470714,0.7414840693897297,0.0380794057573417,True
few-label,target-only,COAD,target-only,cold,5,6,0.7807570977917981,0.7655082614615882,0.015248836330209903,True
few-label,UCEC,COAD,single,warm,5,6,0.7900076732884304,0.7928737761190592,0.002866102830628825,False
few-label,target-only,COAD,target-only,cold,5,7,0.7393639696478814,0.7308660117880574,0.00849795785982399,False
few-label,UCEC,COAD,single,warm,5,7,0.8230880722994288,0.8053581844063473,0.017729887893081497,True
few-label,target-only,COAD,target-only,cold,5,8,0.7422627674993605,0.7257073901492969,0.016555377350063627,True
few-label,UCEC,COAD,single,warm,5,8,0.7847642595276665,0.7706273387872196,0.014136920740446923,True
few-label,target-only,COAD,target-only,cold,5,9,0.6148435501747805,0.6378418857981917,0.022998335623411137,True
few-label,UCEC,COAD,single,warm,5,9,0.7741069144854633,0.7629754653930424,0.01113144909242092,True
few-label,target-only,COAD,target-only,cold,5,10,0.7387245289453491,0.7543767570838078,0.01565222813845868,True
few-label,UCEC,COAD,single,warm,5,10,0.7813965384943303,0.7842437128137227,0.0028471743193924093,False
few-label,target-only,COAD,target-only,cold,5,11,0.6295506863330208,0.655721766317099,0.026171079984078194,True
few-label,UCEC,COAD,single,warm,5,11,0.7588029670048597,0.7393158313054042,0.019487135699455482,True
few-label,target-only,COAD,target-only,cold,5,12,0.6542330974507631,0.644952490684864,0.009280606765899035,False
few-label,UCEC,COAD,single,warm,5,12,0.7618296529968455,0.7468376874697629,0.014991965527082596,True
few-label,target-only,COAD,target-only,cold,5,13,0.5592548384346492,0.5837914106747275,0.024536572240078325,True
few-label,UCEC,COAD,single,warm,5,13,0.7754710546508654,0.7813952848982642,0.005924230247398743,False
few-label,target-only,COAD,target-only,cold,5,14,0.7164293631170603,0.7104362302708876,0.005993132846172644,False
few-label,UCEC,COAD,single,warm,5,14,0.7904339670901185,0.7743167485719621,0.016117218518156395,True
few-label,target-only,COAD,target-only,cold,5,15,0.7501065734504221,0.7672090318927459,0.01710245844232383,True
few-label,UCEC,COAD,single,warm,5,15,0.7925228067183903,0.7749139721582622,0.017608834560128073,True
few-label,target-only,COAD,target-only,cold,5,16,0.5799300878165232,0.6359369911231878,0.05600690330666458,True
few-label,UCEC,COAD,single,warm,5,16,0.7771336004774491,0.7654177903636692,0.011715810113779868,True
few-label,target-only,COAD,target-only,cold,5,17,0.5653508397987893,0.5989662830273556,0.033615443228566244,True
few-label,UCEC,COAD,single,warm,5,17,0.6901696649330719,0.711178962767344,0.02100929783427219,True
few-label,target-only,COAD,target-only,cold,5,18,0.6203853695967261,0.6178235968489196,0.0025617727478064456,False
few-label,UCEC,COAD,single,warm,5,18,0.7279392957626396,0.731458803030799,0.0035195072681594164,False
few-label,target-only,COAD,target-only,cold,5,19,0.5236593059936909,0.5723254701824712,0.048666164188780225,True
few-label,UCEC,COAD,single,warm,5,19,0.7421775087390229,0.7223151674541942,0.019862341284828666,True
few-label,target-only,COAD,target-only,cold,10,0,0.6740131298490921,0.7007967154218395,0.026783585572747404,True
few-label,UCEC,COAD,single,warm,10,0,0.7799471395685907,0.773916460236222,0.006030679332368782,False
few-label,target-only,COAD,target-only,cold,10,1,0.7811407622133175,0.7586339033359887,0.02250685887732884,True
few-label,UCEC,COAD,single,warm,10,1,0.8058658027112285,0.79250456329503,0.01336123941619849,True
few-label,target-only,COAD,target-only,cold,10,2,0.6996760167107171,0.7298017231031133,0.0301257063923962,True
few-label,UCEC,COAD,single,warm,10,2,0.7622133174183646,0.7519808628974468,0.01023245452091781,True
few-label,target-only,COAD,target-only,cold,10,3,0.6823684883621793,0.6632271923155736,0.01914129604660575,True
few-label,UCEC,COAD,single,warm,10,3,0.7639184926251172,0.7554198231427626,0.00849866948235467,False
few-label,target-only,COAD,target-only,cold,10,4,0.6891891891891893,0.6848754984946643,0.004313690694524919,False
few-label,UCEC,COAD,single,warm,10,4,0.7736379913036064,0.7509916785189874,0.022646312784619038,True
