source,target,base,k,n_draws,warm_auc,warm_ci_lower,warm_ci_upper,cold_auc,cold_ci_lower,cold_ci_upper,lift,lift_ci_lower,lift_ci_upper,fold_warm_auc,fold_cold_auc,fold_lift,fold_diverged,confirmatory,confirmatory_passed
COAD+STAD,UCEC,pooled,10,20,0.6058424018655265,0.5647636270890012,0.6450909687135639,0.6403692188107268,0.6143802710843375,0.6659505198212202,-0.03452681694520032,-0.07119131364166335,0.0017057909055578325,0.609438273236196,0.6460497811524989,-0.036611507916302855,False,False,
COAD+STAD,UCEC,pooled,25,20,0.6756937427127866,0.6348851778080061,0.7147872376603187,0.6925194325689856,0.6593661824718228,0.7238341673144187,-0.016825689856199033,-0.04620309463661109,0.013136732413525018,0.679585146631954,0.694572732655969,-0.014987586024014954,False,False,
COAD+STAD,UCEC,pooled,3,20,0.5537407695297318,0.5103877526233969,0.5963448795180721,0.5797823552273611,0.5596504809560824,0.5987534249902837,-0.026041585697629266,-0.06860816653711634,0.014499805674310048,0.5566593701299357,0.5856935766151701,-0.02903420648523436,False,False,
COAD+STAD,UCEC,pooled,40,20,0.6882763311309754,0.6467032160901671,0.7279144481150408,0.6983356004663815,0.6645170034978622,0.7310124368441508,-0.010059269335406129,-0.036846458414302403,0.01741709580256519,0.6933084754016551,0.703530800070929,-0.010222324669273974,False,False,
COAD+STAD,UCEC,pooled,5,20,0.5676039642440731,0.5277884279051691,0.6089386902448503,0.6002069568596968,0.5798667168674698,0.6208416245627673,-0.032602992615623716,-0.0708182083171396,0.0058536970462495855,0.5698313173686091,0.6068459499112578,-0.037014632542648696,False,False,
COAD+STAD,UCEC,pooled,all,1,0.7136027982899339,0.6633841818888457,0.7611382627283327,0.717897396035756,0.6690614069179946,0.7621074621064905,-0.004294597745822082,-0.03239603575592692,0.02410172949863966,0.7190988749287204,0.7267031207904175,-0.0076042458616971675,False,False,
STAD,UCEC,single,0,1,0.49749319860085506,0.44163330742324136,0.5537354255732607,0.5,0.5,0.5,-0.0025068013991449423,-0.058366692576758666,0.05373542557326071,0.4969591225150207,0.5,-0.0030408774849792763,False,False,
STAD,UCEC,single,10,20,0.6191342790516906,0.5794382044306257,0.6569958948698018,0.6403692188107268,0.6143802710843375,0.6659505198212202,-0.02123493975903623,-0.055610935678196485,0.012717353284104052,0.6228515936691352,0.6460497811524989,-0.023198187483363664,False,False,
STAD,UCEC,single,25,20,0.6866294209094442,0.6467239603575593,0.7231331859696853,0.6925194325689856,0.6593661824718228,0.7238341673144187,-0.005890011659541394,-0.03137699183832092,0.020244898950641174,0.6887004627671028,0.694572732655969,-0.005872269888866133,False,False,
STAD,UCEC,single,3,20,0.5522969296541003,0.5054427710843374,0.5967458705790907,0.5797823552273611,0.5596504809560824,0.5987534249902837,-0.027485425573260835,-0.07138741255343939,0.015280533424018613,0.5527831400676975,0.5856935766151701,-0.03291043654747261,False,False,
STAD,UCEC,single,40,20,0.7027050136027982,0.6619072580645161,0.7383509279051689,0.6983356004663815,0.6645170034978622,0.7310124368441508,0.0043694131364167,-0.019104863000388723,0.027189321803342416,0.7040542077082864,0.703530800070929,0.0005234076373573648,False,False,
STAD,UCEC,single,5,20,0.5656315584920326,0.5234160270112709,0.6056113972017101,0.6002069568596968,0.5798667168674698,0.6208416245627673,-0.03457539836766421,-0.0746892003497864,0.0037428828216091834,0.5667534208416989,0.6068459499112578,-0.04009252906955896,False,False,
STAD,UCEC,single,all,1,0.722852701127089,0.672987757481539,0.7677842013214147,0.717897396035756,0.6690614069179946,0.7621074621064905,0.004955305091333018,-0.01725855033035358,0.02681888845705398,0.7281956320832113,0.7267031207904175,0.0014925112927937079,False,False,
