budget,target_share,draw_seed,raw_auc,rank_auc,rank_gap,rank_diverged
100,90,15,0.8075139146567719,0.7974386724386724,0.010075242218099523,True
100,90,16,0.7945269016697588,0.8032106782106782,0.008683776540919341,False
100,90,17,0.7726242011956298,0.7770305091733664,0.004406307977736557,False
100,90,18,0.836528550814265,0.8375077303648732,0.0009791795506082224,False
100,90,19,0.7919501133786847,0.7978509585652442,0.0059008451865595335,False
100,100,0,0.8478664192949907,0.8342352092352092,0.013631210059781518,True
100,100,1,0.8469387755102041,0.8560863739435167,0.009147598433312587,False
100,100,2,0.8438981653267368,0.8567821067821069,0.012883941455370085,True
100,100,3,0.7962791177076891,0.803030303030303,0.006751185322613873,False
100,100,4,0.8343640486497629,0.8413986806843949,0.00703463203463206,False
100,100,5,0.7753555967841682,0.7857915893630179,0.01043599257884964,True
100,100,6,0.8459080601937744,0.8527880849309419,0.006880024737167534,False
100,100,7,0.8383838383838383,0.8319418676561533,0.006441970727685042,False
100,100,8,0.8081838796124511,0.8062770562770561,0.001906823335394936,False
100,100,9,0.8235930735930735,0.8267625231910947,0.0031694495980211235,False
100,100,10,0.7809729952587096,0.7915378272521129,0.0105648319934033,True
100,100,11,0.8519377447948876,0.8414244485673057,0.010513296227581903,True
100,100,12,0.817305710162853,0.8167903525046382,0.0005153576582148656,False
100,100,13,0.8325087610801897,0.8332817975675119,0.0007730364873221873,False
100,100,14,0.7826736755308182,0.788059163059163,0.005385487528344779,False
100,100,15,0.810863739435168,0.8096526489383632,0.0012110904968047898,False
100,100,16,0.8258091115233972,0.8314007421150278,0.005591630591630592,False
100,100,17,0.7642754071325499,0.7981601731601731,0.03388476602762314,True
100,100,18,0.8315295815295816,0.8283601319315606,0.0031694495980210124,False
100,100,19,0.7821067821067821,0.8004792826221397,0.01837250051535766,True
200,0,0,0.6358482787054215,0.6686250257678827,0.03277674706246125,True
200,0,1,0.6347660276231705,0.706967635539064,0.07220160791589358,True
200,0,2,0.6180684394970108,0.6568491032776747,0.038780663780663804,True
200,0,3,0.6471861471861472,0.6462069676355391,0.0009791795506081113,False
200,0,4,0.670892599464028,0.7148526077097506,0.04396000824572255,True
200,0,5,0.7224799010513296,0.7460832817975673,0.02360338074623769,True
200,0,6,0.6768707482993197,0.6936456400742116,0.016774891774891887,True
200,0,7,0.6403318903318903,0.6362090290661719,0.004122861265718369,False
200,0,8,0.6110595753452897,0.6384766027623171,0.02741702741702745,True
200,0,9,0.6144609358895073,0.6710214388785817,0.056560502989074335,True
200,0,10,0.6298701298701297,0.6292259327973613,0.0006441970727684154,False
200,0,11,0.589311482168625,0.6067048031333745,0.017393320964749548,True
200,0,12,0.6716656359513503,0.6651721294578438,0.006493506493506551,False
200,0,13,0.7377860235003092,0.7678829107400535,0.030096887239744352,True
200,0,14,0.6137909709338281,0.6399969078540506,0.02620593692022255,True
200,0,15,0.6252319109461966,0.6522108843537414,0.02697897340754485,True
200,0,16,0.7040816326530612,0.7131519274376417,0.009070294784580435,False
200,0,17,0.6464131106988249,0.6865594722737579,0.04014636157493301,True
200,0,18,0.5563285920428778,0.6330138115852402,0.0766852195423624,True
200,0,19,0.6129663986806844,0.7420892599464028,0.12912286126571848,True
