permutation,null_mean_lift
960,-0.2646103896103896
961,-0.16055452484023913
962,-0.1933467326324469
963,-0.12573180787466504
964,-0.1968692022263451
965,-0.10568697175840032
966,-0.07874407338693049
967,-0.1793805400948258
968,-0.1508245722531437
969,-0.15368480725623582
970,-0.12645073180787464
971,-0.14249381570810143
972,-0.18799216656359513
973,-0.19096062667491237
974,-0.15663522984951558
975,-0.08294681508967225
976,-0.09948721913007626
977,-0.15099721706864563
978,-0.16446351267779838
979,-0.22840393733250872
980,-0.12754844361987216
981,-0.15280869923727067
982,-0.1536667697381983
983,-0.11665893630179344
984,-0.13471449185734902
985,-0.12456967635539062
986,-0.13593073593073593
